"annotation_id","annotator","correct_answer","created_at","explanation","id","id_source","image_reference","image_target","label","lead_time","options","question","updated_at"
127,"1","No injury","2026-01-23T00:44:51.261171Z","No bone injury. Alignment of all the joints   is normal. No soft tissue swelling.",875,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q01","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q01_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q01_MERGED_base.jpg","[{""x"":60,""y"":18,""width"":23,""height"":55,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1024,""original_height"":603},{""x"":4,""y"":35,""width"":34,""height"":60,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1024,""original_height"":603}]",128.24599999999998,"Injury | No injury","Twisted ankle. Pain medially and laterally. AP and lateral views.","2026-01-23T00:44:51.261192Z"
128,"1","Injury","2026-01-23T00:45:22.907710Z","Fracture of the fifth metatarsal shaft.",876,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q02","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q02_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q02_MERGED_base.jpg","[{""x"":65,""y"":47,""width"":7,""height"":7,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":933,""original_height"":827},{""x"":11,""y"":53,""width"":7,""height"":7,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":933,""original_height"":827}]",57.57,"Injury | No injury","Twisting injury. Painful foot. DP and oblique views.","2026-01-23T00:45:22.907730Z"
129,"1","No Injury","2026-01-24T18:47:50.817242Z","No fracture. Normal soft tissues. Normal knee joint alignment.",877,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q04","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q04_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q04_MERGED_base.jpg","[{""x"":5,""y"":15,""width"":33,""height"":72,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1036,""original_height"":459},{""x"":54,""y"":5,""width"":40,""height"":74,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1036,""original_height"":459}]",114.30000000000001,"Injury | No Injury","Hyperextension injury to knee. Pain and tenderness medially. AP and lateral views.","2026-01-24T18:47:50.817264Z"
130,"1","Injury","2026-01-24T18:53:27.605696Z","Transverse fracture of the fourth toe proximal phalanx with minor valgus angulation.",878,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q06","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q06_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q06_MERGED_base.jpg","[{""x"":75,""y"":38,""width"":9,""height"":13,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1063,""original_height"":643},{""x"":25,""y"":60,""width"":13,""height"":24,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1063,""original_height"":643},{""x"":79,""y"":51,""width"":10,""height"":19,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1063,""original_height"":643}]",399.586,"Injury | No injury","Direct trauma to toes. Pain and tenderness. DP and oblique views.","2026-01-24T18:53:27.605717Z"
131,"1","Injury","2026-01-24T18:59:54.650485Z","Subtle tibial fracture with lipohaemarthorsis",879,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q07","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q07_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q07_MERGED_base.jpg","[{""x"":16,""y"":50,""width"":8,""height"":28,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1221,""original_height"":574},{""x"":47,""y"":6,""width"":45,""height"":70,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1221,""original_height"":574}]",421.043,"Injury | No injury","Direct trauma to the lateral side of the knee.","2026-01-24T18:59:54.650506Z"
132,"1","No injury","2026-01-24T19:01:10.390878Z","Normal 5th metatarsal apophysis.",880,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q08","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q08_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q08_MERGED_base.jpg","[{""x"":82,""y"":68,""width"":7,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":948,""original_height"":689},{""x"":33,""y"":68,""width"":7,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":948,""original_height"":689}]",108.006,"Injury | No injury","Direct trauma to foot. Painful metatarsals. DP and oblique images.","2026-01-24T19:01:10.390899Z"
133,"1","Injury","2026-01-24T19:01:40.861924Z","Break in the cortex of the fourth metatarsal distally.
The fracture is more easily seen on the DP view and is barely visible on the oblique image.",881,"Trauma_X_Ray_Quiz_1_Lower_Limb_Q10","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Lower_Limb__Q10_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Lower_Limb__Q10_MERGED_base.jpg","[{""x"":67,""y"":46,""width"":6,""height"":14,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":529},{""x"":14,""y"":52,""width"":6,""height"":15,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":529}]",78.721,"Injury | No injury","Dropped heavy weight on foot. Painful foot. Tender metatarsals.","2026-01-24T19:01:40.861946Z"
134,"1","Injury","2026-01-24T19:05:41.445804Z","Oblique fracture of the little finger metacarpal.",882,"Trauma_X_Ray_Quiz_1_Upper_Limb_Q01","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Upper_Limb__Q01_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Upper_Limb__Q01_MERGED_base.jpg","[{""x"":13,""y"":63,""width"":6,""height"":5,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":916,""original_height"":633},{""x"":62,""y"":56,""width"":7,""height"":17,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":916,""original_height"":633},{""x"":12,""y"":55,""width"":5,""height"":8,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":916,""original_height"":633},{""x"":14,""y"":68,""width"":6,""height"":7,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":916,""original_height"":633}]",327.261,"No injury | Injury","Punch injury to hand.  DP and Oblique views.","2026-01-24T19:06:59.549411Z"
135,"1","No injury","2026-01-24T19:08:05.965804Z","Normal glenohumeral joint alignment.
No fracture.",883,"Trauma_X_Ray_Quiz_1_Upper_Limb_Q02","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Upper_Limb__Q02_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Upper_Limb__Q02_MERGED_base.jpg","[{""x"":55,""y"":12,""width"":36,""height"":67,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":982,""original_height"":439},{""x"":5,""y"":13,""width"":41,""height"":70,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":982,""original_height"":439}]",124.84200000000001,"Injury | No injury","Fall on shoulder. Pain and reduced range of movement. AP and Axial views.","2026-01-24T19:08:05.965828Z"
136,"1","No injury","2026-01-24T19:13:15.942656Z","Normal glenohumeral joint alignment.
No fracture.",884,"Trauma_X_Ray_Quiz_1_Upper_Limb_Q03","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Trauma_X_Ray_Quiz_1_Upper_Limb__Q03_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Trauma_X_Ray_Quiz_1_Upper_Limb__Q03_MERGED_base.jpg","[{""x"":52,""y"":45,""width"":15,""height"":34,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237},{""x"":28,""y"":20,""width"":18,""height"":29,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237},{""x"":20,""y"":35,""width"":8,""height"":29,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237},{""x"":4,""y"":44,""width"":16,""height"":31,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237},{""x"":67,""y"":49,""width"":8,""height"":20,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237},{""x"":75,""y"":41,""width"":20,""height"":26,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":237}]",328.653,"Injury | No injury","Fall on outstretched hand. Clavicle pain and tenderness. 2 AP views.","2026-01-24T19:13:15.942701Z"
